Date,open,high,low,close,tick_volume
2012-11-15 14:00:00,94371.0,94420.0,94326.0,94380.0,5255
2012-11-15 15:00:00,94380.0,94385.0,94191.0,94220.0,6119
2012-11-15 16:00:00,94219.0,94240.0,94028.0,94118.0,6533
2012-11-15 17:00:00,94119.0,94219.0,94116.0,94181.0,5415
2012-11-15 18:00:00,94175.0,94261.0,94150.0,94253.0,4040
2012-11-15 19:00:00,94252.0,94269.0,94171.0,94220.0,3579
2012-11-15 20:00:00,94221.0,94247.0,94211.0,94221.0,2792
2012-11-15 21:00:00,94219.0,94332.0,94217.0,94271.0,3590
2012-11-15 22:00:00,94274.0,94279.0,94195.0,94202.0,2412
2012-11-15 23:00:00,94201.0,94238.0,94174.0,94202.0,1926
2012-11-16 00:00:00,94202.0,94238.0,94200.0,94226.0,1751
2012-11-16 01:00:00,94225.0,94306.0,94210.0,94268.0,2276
2012-11-16 02:00:00,94268.0,94294.0,94241.0,94271.0,2343
2012-11-16 03:00:00,94273.0,94329.0,94260.0,94304.0,2135
2012-11-16 04:00:00,94303.0,94345.0,94238.0,94277.0,2355
2012-11-16 05:00:00,94278.0,94308.0,94259.0,94283.0,1912
2012-11-16 06:00:00,94282.0,94319.0,94244.0,94308.0,2341
2012-11-16 07:00:00,94305.0,94397.0,94271.0,94383.0,3118
2012-11-16 08:00:00,94387.0,94451.0,94343.0,94394.0,4389
2012-11-16 09:00:00,94395.0,94490.0,94360.0,94406.0,5268
2012-11-16 10:00:00,94401.0,94603.0,94401.0,94544.0,5152
2012-11-16 11:00:00,94545.0,94617.0,94515.0,94580.0,4822
2012-11-16 12:00:00,94583.0,94621.0,94523.0,94553.0,4044
2012-11-16 13:00:00,94555.0,94602.0,94480.0,94502.0,4250
2012-11-16 14:00:00,94501.0,94539.0,94423.0,94534.0,4854
2012-11-16 15:00:00,94533.0,94610.0,94468.0,94589.0,5377
2012-11-16 16:00:00,94588.0,94901.0,94575.0,94788.0,6510
2012-11-16 17:00:00,94790.0,94867.0,94708.0,94720.0,6059
2012-11-16 18:00:00,94719.0,94747.0,94609.0,94673.0,5011
2012-11-16 19:00:00,94672.0,94705.0,94590.0,94629.0,3637
2012-11-16 20:00:00,94627.0,94692.0,94621.0,94638.0,3213
2012-11-16 21:00:00,94632.0,94674.0,94505.0,94558.0,3603
2012-11-16 22:00:00,94557.0,94570.0,94516.0,94524.0,2040
2012-11-16 23:00:00,94528.0,94528.0,94528.0,94528.0,1
2012-11-19 00:00:00,94527.0,94547.0,94411.0,94427.0,3048
2012-11-19 01:00:00,94428.0,94550.0,94423.0,94520.0,3245
2012-11-19 02:00:00,94520.0,94532.0,94437.0,94495.0,2953
2012-11-19 03:00:00,94496.0,94510.0,94373.0,94387.0,3083
2012-11-19 04:00:00,94387.0,94428.0,94383.0,94418.0,1827
2012-11-19 05:00:00,94417.0,94469.0,94408.0,94466.0,1636
2012-11-19 06:00:00,94467.0,94492.0,94430.0,94485.0,2595
2012-11-19 07:00:00,94480.0,94494.0,94384.0,94409.0,2530
2012-11-19 08:00:00,94407.0,94446.0,94351.0,94440.0,3857
2012-11-19 09:00:00,94442.0,94504.0,94260.0,94292.0,5285
2012-11-19 10:00:00,94294.0,94400.0,94285.0,94330.0,4503
2012-11-19 11:00:00,94332.0,94410.0,94296.0,94333.0,4039
2012-11-19 12:00:00,94328.0,94365.0,94260.0,94327.0,3754
