Date,open,high,low,close,tick_volume
2012-11-26 20:00:00,80949.0,81120.0,80891.0,81031.0,7984
2012-11-27 00:00:00,81031.0,81089.0,80908.0,80945.0,7920
2012-11-27 04:00:00,80947.0,81001.0,80914.0,80969.0,8374
2012-11-27 08:00:00,80969.0,81030.0,80752.0,80771.0,21190
2012-11-27 12:00:00,80771.0,80883.0,80594.0,80635.0,21406
2012-11-27 16:00:00,80638.0,80752.0,80588.0,80683.0,17659
2012-11-27 20:00:00,80685.0,80779.0,80673.0,80758.0,7179
2012-11-28 00:00:00,80759.0,80778.0,80713.0,80744.0,6349
2012-11-28 04:00:00,80743.0,80792.0,80680.0,80720.0,10149
2012-11-28 08:00:00,80719.0,80787.0,80673.0,80723.0,19884
2012-11-28 12:00:00,80723.0,80752.0,80612.0,80711.0,21462
2012-11-28 16:00:00,80710.0,80852.0,80672.0,80758.0,20938
2012-11-28 20:00:00,80751.0,80899.0,80725.0,80859.0,7864
2012-11-29 00:00:00,80860.0,80893.0,80800.0,80862.0,5656
2012-11-29 04:00:00,80861.0,80880.0,80799.0,80845.0,7564
2012-11-29 08:00:00,80846.0,81123.0,80827.0,81066.0,18703
2012-11-29 12:00:00,81065.0,81121.0,80964.0,81062.0,10694
2012-11-29 16:00:00,81060.0,81088.0,80812.0,80898.0,11028
2012-11-29 20:00:00,80894.0,80911.0,80841.0,80879.0,3347
2012-11-30 00:00:00,80878.0,81032.0,80850.0,80969.0,4208
2012-11-30 04:00:00,80967.0,81046.0,80947.0,81000.0,8417
2012-11-30 08:00:00,81002.0,81153.0,80976.0,81075.0,20676
2012-11-30 12:00:00,81071.0,81224.0,80963.0,81224.0,21929
2012-11-30 16:00:00,81220.0,81318.0,81078.0,81133.0,19720
2012-11-30 20:00:00,81134.0,81176.0,81046.0,81081.0,5874
2012-12-03 00:00:00,81087.0,81289.0,81056.0,81264.0,6561
2012-12-03 04:00:00,81265.0,81297.0,81205.0,81231.0,7411
2012-12-03 08:00:00,81232.0,81292.0,81119.0,81161.0,18677
2012-12-03 12:00:00,81160.0,81296.0,81071.0,81134.0,20531
2012-12-03 16:00:00,81125.0,81223.0,81064.0,81109.0,17880
2012-12-03 20:00:00,81109.0,81144.0,81071.0,81118.0,7421
2012-12-04 00:00:00,81119.0,81145.0,81058.0,81092.0,5241
2012-12-04 04:00:00,81093.0,81171.0,81053.0,81156.0,8141
2012-12-04 08:00:00,81156.0,81206.0,80995.0,81113.0,19994
2012-12-04 12:00:00,81113.0,81292.0,81074.0,81232.0,20452
